epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,406827,0.7887,0.51792,0.98606,0.97278,0.88634,0.96237,0.83265,0.57885,0.42475,0.89283,0.006931,0.006931,0.006931
95,411172,0.80756,0.53433,0.99405,0.96979,0.88989,0.96444,0.82996,0.58432,0.42248,0.89685,0.006898,0.006898,0.006898
96,415484,0.78752,0.53247,0.99009,0.97115,0.88722,0.96148,0.82327,0.60049,0.44734,0.89631,0.006865,0.006865,0.006865
97,419845,0.80614,0.54539,0.99531,0.95871,0.89012,0.95312,0.80909,0.61014,0.46277,0.90361,0.006832,0.006832,0.006832
98,424208,0.80687,0.53946,0.99672,0.97531,0.89509,0.96041,0.82371,0.58974,0.43393,0.89855,0.006799,0.006799,0.006799
99,428443,0.79442,0.52985,0.98579,0.93663,0.90523,0.95487,0.81066,0.63084,0.47532,0.91374,0.006766,0.006766,0.006766
100,4283.22,0.79462,0.52829,0.98879,0.9573,0.90067,0.96014,0.83143,0.57576,0.43339,0.8923,0.006733,0.006733,0.006733
101,8440.53,0.79184,0.52253,0.98596,0.95897,0.88667,0.96149,0.82465,0.58951,0.44055,0.90107,0.0067,0.0067,0.0067
102,12561.7,0.78971,0.52719,0.98587,0.95782,0.87421,0.95246,0.81578,0.59757,0.48562,0.89511,0.006667,0.006667,0.006667
103,16711.5,0.78977,0.51697,0.98884,0.96313,0.90047,0.96493,0.83437,0.57134,0.42074,0.89697,0.006634,0.006634,0.006634
104,20843.5,0.78369,0.52397,0.98737,0.92261,0.91909,0.9608,0.82533,0.58359,0.43085,0.89784,0.006601,0.006601,0.006601
105,24961.2,0.77608,0.51525,0.97429,0.97699,0.89954,0.96464,0.83301,0.58347,0.41034,0.89903,0.006568,0.006568,0.006568
106,29161.1,0.77366,0.51822,0.98249,0.94894,0.91803,0.96693,0.83188,0.58578,0.41547,0.89619,0.006535,0.006535,0.006535
107,33426,0.77808,0.51082,0.97989,0.95684,0.9094,0.96369,0.83344,0.57537,0.41064,0.89027,0.006502,0.006502,0.006502
108,37637.4,0.77901,0.50386,0.97831,0.96932,0.88992,0.96466,0.83601,0.58094,0.41045,0.89447,0.006469,0.006469,0.006469
109,41893.7,0.76732,0.49824,0.97907,0.96621,0.90179,0.96235,0.82365,0.58334,0.43661,0.89408,0.006436,0.006436,0.006436
110,46146.8,0.77529,0.50384,0.98017,0.96008,0.91275,0.96122,0.83087,0.58753,0.4126,0.8946,0.006403,0.006403,0.006403
111,50337.1,0.77026,0.50695,0.97782,0.93867,0.89179,0.95767,0.8305,0.57307,0.44474,0.89284,0.00637,0.00637,0.00637
112,54536.1,0.76397,0.51421,0.96763,0.94747,0.8897,0.96346,0.83152,0.57014,0.43383,0.89197,0.006337,0.006337,0.006337
113,58743.1,0.78164,0.51231,0.98205,0.9485,0.89884,0.95567,0.8173,0.59709,0.4371,0.90067,0.006304,0.006304,0.006304
114,62995.8,0.76267,0.50237,0.97082,0.96595,0.89461,0.95965,0.82866,0.5797,0.4272,0.89513,0.006271,0.006271,0.006271
115,67362.2,0.77213,0.50548,0.97511,0.95879,0.90052,0.96274,0.82361,0.59316,0.43101,0.89955,0.006238,0.006238,0.006238
116,71712.2,0.76794,0.49369,0.96978,0.95239,0.92182,0.9634,0.83441,0.57145,0.41004,0.89165,0.006205,0.006205,0.006205
117,75971,0.75617,0.48584,0.96662,0.95734,0.91319,0.96576,0.83589,0.57083,0.41803,0.88868,0.006172,0.006172,0.006172
118,80242.3,0.766,0.48884,0.97182,0.96222,0.90047,0.96229,0.82693,0.58777,0.42459,0.90041,0.006139,0.006139,0.006139
119,84588.1,0.75035,0.48297,0.96585,0.97551,0.89717,0.95813,0.8268,0.57778,0.41882,0.89232,0.006106,0.006106,0.006106
120,88786.4,0.76124,0.48057,0.96983,0.94795,0.91684,0.96214,0.83019,0.5717,0.41509,0.88765,0.006073,0.006073,0.006073
121,93090.9,0.75206,0.47901,0.97051,0.96163,0.90675,0.96395,0.83673,0.56718,0.41476,0.88709,0.00604,0.00604,0.00604
122,97396.9,0.75255,0.4922,0.96881,0.95513,0.91712,0.9654,0.83599,0.56787,0.42097,0.88504,0.006007,0.006007,0.006007
123,101632,0.74911,0.48673,0.96726,0.95891,0.90944,0.96222,0.83501,0.57178,0.43001,0.8895,0.005974,0.005974,0.005974
124,105829,0.74836,0.4693,0.96792,0.95206,0.91059,0.96506,0.83903,0.57049,0.42152,0.89231,0.005941,0.005941,0.005941
125,110064,0.73944,0.48143,0.95886,0.96821,0.88819,0.96254,0.83432,0.5719,0.42591,0.88953,0.005908,0.005908,0.005908
126,114339,0.753,0.48475,0.96342,0.95831,0.90818,0.96043,0.83629,0.56267,0.41891,0.89163,0.005875,0.005875,0.005875
127,118632,0.7519,0.48456,0.96493,0.95747,0.90539,0.96042,0.8278,0.57525,0.40818,0.89351,0.005842,0.005842,0.005842
128,122975,0.73068,0.47223,0.96286,0.94999,0.92622,0.96543,0.84568,0.55247,0.3995,0.88133,0.005809,0.005809,0.005809
129,127372,0.73557,0.4691,0.96137,0.96748,0.89393,0.96284,0.83812,0.57247,0.41293,0.89073,0.005776,0.005776,0.005776
130,131716,0.74575,0.48309,0.9581,0.96609,0.9019,0.96086,0.82935,0.5685,0.41533,0.88728,0.005743,0.005743,0.005743
131,135997,0.74107,0.46496,0.96012,0.95424,0.92098,0.96507,0.83938,0.56534,0.41273,0.89034,0.00571,0.00571,0.00571
132,140178,0.73399,0.46657,0.95504,0.96677,0.91091,0.96707,0.83436,0.58055,0.40774,0.89389,0.005677,0.005677,0.005677
133,144408,0.72978,0.46137,0.95708,0.96677,0.90712,0.9668,0.84299,0.56307,0.39425,0.88981,0.005644,0.005644,0.005644
134,148685,0.72695,0.4702,0.95542,0.96209,0.91791,0.96864,0.83871,0.57212,0.3995,0.89279,0.005611,0.005611,0.005611
135,152964,0.74078,0.457,0.96055,0.96288,0.8988,0.96234,0.83576,0.57142,0.41605,0.89425,0.005578,0.005578,0.005578
136,157266,0.71471,0.45436,0.95489,0.96159,0.87827,0.96012,0.83002,0.57302,0.43543,0.89453,0.005545,0.005545,0.005545
137,161482,0.71968,0.45376,0.95447,0.96981,0.90376,0.96674,0.84006,0.57424,0.39396,0.8969,0.005512,0.005512,0.005512
138,165699,0.70849,0.46083,0.94787,0.95245,0.92106,0.96656,0.8429,0.5614,0.38911,0.88984,0.005479,0.005479,0.005479
139,169911,0.71209,0.4461,0.94328,0.95531,0.92524,0.96669,0.84021,0.55791,0.39412,0.88602,0.005446,0.005446,0.005446
